partner,host,class,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,eager_score
0,ccc0392.campuscluster.illinois.edu,self,5.646185e-07,5.59233e-07,2.4798480575826975e-10,32.260040995407714,22.469332078010517,1011,8088,1.3024535113868347
1,ccc0392.campuscluster.illinois.edu,intra,1.267152e-06,1.049926e-06,3.2614827546152845e-10,24.52872083618807,77.22697419818913,1817,14536,1.94722457656129
2,ccc0392.campuscluster.illinois.edu,intra,1.1447255e-06,1.1415995e-06,8.232041408367544e-10,9.718124099653236,22.612567480553945,1011,8088,0.5954655453024926
3,ccc0392.campuscluster.illinois.edu,intra,1.086821e-06,1.040288e-06,4.5810912507796763e-10,17.463088076751244,29.370468173104342,45692,365536,1.498649343150812
4,ccc0392.campuscluster.illinois.edu,intra,1.1501355e-06,1.1501355e-06,5.400135862841852e-10,14.814442086629196,22.636213696409268,9168,73344,1.5287188158559635
5,ccc0392.campuscluster.illinois.edu,intra,1.132322e-06,1.035915e-06,2.877886304102663e-10,27.798179478443412,31.779291338787026,1011,8088,0.7261820905180975
6,ccc0392.campuscluster.illinois.edu,intra,1.17338e-06,1.17338e-06,5.808614293497858e-10,13.772647994471194,22.70244190519182,1011,8088,0.5718466280079364
7,ccc0392.campuscluster.illinois.edu,intra,1.1131355e-06,1.0520255e-06,3.000148603035278e-10,26.665345816224992,31.508344327752333,1011,8088,0.7384513886206202
8,ccc0392.campuscluster.illinois.edu,intra,1.1425715e-06,1.1388445e-06,9.338637893308568e-10,8.566559803900581,22.61774221156145,1211,9688,2.292423507602404
9,ccc0392.campuscluster.illinois.edu,intra,1.1418e-06,1.065075e-06,2.984488284023883e-10,26.805265220253684,31.881790340526795,1011,8088,0.6015592241096478
10,ccc0392.campuscluster.illinois.edu,intra,1.225433e-06,1.10753e-06,5.771636789815756e-10,13.860886073282131,31.543339423195953,1011,8088,0.5642160805041915
11,ccc0392.campuscluster.illinois.edu,intra,1.1170935e-06,1.0507175e-06,2.8184265200220876e-10,28.384632145518218,31.50124354505652,1011,8088,0.7432470187823232
12,ccc0392.campuscluster.illinois.edu,intra,1.1744015e-06,1.1744015e-06,5.584154589442615e-10,14.326250951441736,22.715743900917058,1011,8088,0.5696652762202254
13,ccc0392.campuscluster.illinois.edu,intra,1.096875e-06,1.096875e-06,2.834141371295525e-10,28.227243993630033,31.182911894980656,1011,8088,0.6961040830636319
14,ccc0392.campuscluster.illinois.edu,intra,1.1412035e-06,1.1295865e-06,,,22.60218133274854,1011,8088,0.5833516980612364
15,ccc0392.campuscluster.illinois.edu,intra,1.039391e-06,1.026166e-06,2.877325667812244e-10,27.80359585115281,22.785450072484338,1011,8088,0.7140554892679276
