partner,host,class,socket,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,m_eager_next_bytes,eager_score
0,ccc0391.campuscluster.illinois.edu,self,0,1.268549e-06,1.259051e-06,1.0598196403347881e-09,7.548454185537519,28.00854919048405,1011,8088,8224,0.24693730862151317
1,ccc0391.campuscluster.illinois.edu,intra,1,1.017732e-06,1.017732e-06,7.530466661306209e-10,10.623511609322161,22.857565461234763,1011,8088,8224,0.27628367888986666
2,ccc0391.campuscluster.illinois.edu,intra,0,1.12044e-06,1.12044e-06,1.055808983197352e-09,7.577128180680235,22.586192286691524,1011,8088,8224,0.2401825922883228
3,ccc0391.campuscluster.illinois.edu,intra,1,1.025291e-06,1.025291e-06,7.522752739043824e-10,10.634405087487742,22.896819984442857,1011,8088,8224,0.27397729614269783
4,ccc0391.campuscluster.illinois.edu,intra,0,1.121307e-06,1.121307e-06,1.0596902472961862e-09,7.549375886408416,22.59487467326708,1011,8088,8224,0.23728732650268144
5,ccc0391.campuscluster.illinois.edu,intra,1,1.022551e-06,1.022551e-06,7.550402627465722e-10,10.595461453802212,22.869435676746612,1011,8088,8224,0.28190305878339167
6,ccc0391.campuscluster.illinois.edu,intra,0,1.119408e-06,1.119408e-06,1.059364118169657e-09,7.551699989444801,22.57862371872584,1011,8088,8224,0.2354775610334743
7,ccc0391.campuscluster.illinois.edu,intra,1,1.0982835e-06,1.0982835e-06,7.538419402175005e-10,10.612304215512099,31.44450070376055,1011,8088,8224,0.2805568241476711
8,ccc0391.campuscluster.illinois.edu,intra,0,1.138138e-06,1.138138e-06,1.0602590863225373e-09,7.545325574853269,22.54583126233788,1011,8088,8224,0.2385671029766047
9,ccc0391.campuscluster.illinois.edu,intra,1,1.0251205e-06,1.0251205e-06,7.525613691069056e-10,10.630362291242662,22.877315742683173,1011,8088,8224,0.28661646584242484
10,ccc0391.campuscluster.illinois.edu,intra,0,1.1163625e-06,1.1163625e-06,1.0586786585926251e-09,7.556589466566705,22.574367286970332,1011,8088,8224,0.2391551194573344
11,ccc0391.campuscluster.illinois.edu,intra,1,1.025822e-06,1.025822e-06,7.512826298970784e-10,10.648455962699359,22.86646500070218,1011,8088,8224,0.27829657886321213
12,ccc0391.campuscluster.illinois.edu,intra,0,1.1243725e-06,1.1243725e-06,1.055243701941242e-09,7.581187156372581,22.593227169603963,1011,8088,8224,0.23885057790922773
13,ccc0391.campuscluster.illinois.edu,intra,1,1.0524475e-06,1.0524475e-06,7.518929331899733e-10,10.639812727138265,22.96594217838875,1011,8088,8224,0.2814039276280843
