partner,host,class,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,eager_score
40,ccc0391.campuscluster.illinois.edu,intra,1.140207e-06,1.140207e-06,4.646188892157832e-10,17.218413167624263,22.578772543830134,1011,8088,0.5486503781001753
41,ccc0391.campuscluster.illinois.edu,intra,1.0474475e-06,1.045213e-06,2.940077498337617e-10,27.210167094314258,22.90590495703712,1011,8088,0.7440640489258794
42,ccc0391.campuscluster.illinois.edu,intra,1.1425165e-06,1.1425165e-06,5.520221574904816e-10,14.492171901882294,22.596326414904038,1011,8088,0.5513093433129916
43,ccc0391.campuscluster.illinois.edu,intra,1.049301e-06,1.0476025e-06,3.093039119282581e-10,25.864529000381896,22.901910601633663,1011,8088,0.7000427520485422
44,ccc0391.campuscluster.illinois.edu,intra,1.1404325e-06,1.1404325e-06,5.431198111913427e-10,14.72971494531172,22.59680232398911,1011,8088,0.5590052721274137
45,ccc0391.campuscluster.illinois.edu,intra,1.047062e-06,1.04615e-06,3.1645533336413134e-10,25.280028985306274,22.904855450807453,1011,8088,0.7104276423432025
46,ccc0391.campuscluster.illinois.edu,intra,1.1455925e-06,1.1455925e-06,5.381753073325628e-10,14.865044700121182,22.62070107792952,1011,8088,0.557445436003514
47,ccc0391.campuscluster.illinois.edu,intra,1.0594e-06,1.047863e-06,2.955661454622853e-10,27.066699359249903,22.94152098983939,1011,8088,0.7149690742978235
48,ccc0391.campuscluster.illinois.edu,intra,1.212453e-06,1.212453e-06,4.982357884602984e-10,16.056654670918878,22.800853371755785,1011,8088,0.5736458569871796
49,ccc0391.campuscluster.illinois.edu,intra,1.2534705e-06,1.0489505e-06,3.1604913410675095e-10,25.31251991121692,73.24398709656745,1011,8088,0.739865435257075
50,ccc0391.campuscluster.illinois.edu,intra,1.1439595e-06,1.1439595e-06,5.716807323515441e-10,13.993824782397168,22.607624001481188,1011,8088,0.5652248318408493
51,ccc0391.campuscluster.illinois.edu,intra,4.949906e-06,1.1265265e-06,3.0273530180101325e-10,26.425725551024005,1011.1500907747778,1011,8088,4.132195366290247
52,ccc0391.campuscluster.illinois.edu,intra,1.2223765e-06,1.2223765e-06,5.390245289624001e-10,14.84162513976807,22.829482906129943,1011,8088,0.5587537322414968
53,ccc0391.campuscluster.illinois.edu,intra,1.1042545e-06,1.1042545e-06,3.014402217138898e-10,26.53925861159017,31.253567154928547,1011,8088,0.7408468565620535
54,ccc0391.campuscluster.illinois.edu,intra,1.17617e-06,1.17617e-06,4.977067119503758e-10,16.073723355367658,22.699567053136306,1011,8088,0.5618733377569379
