partner,host,class,socket,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,m_eager_next_bytes,eager_score
0,ccc0391.campuscluster.illinois.edu,self,0,1.281333e-06,1.249223e-06,1.0578062244029838e-09,7.562821824493543,33.48438510323917,1011,8088,8224,0.255661272125178
1,ccc0391.campuscluster.illinois.edu,intra,1,1.007898e-06,1.0060295e-06,7.452600156793375e-10,10.734508536202155,22.862453612147743,1011,8088,8224,0.2742669827738226
2,ccc0391.campuscluster.illinois.edu,intra,0,1.102286e-06,1.102286e-06,1.0572029469113716e-09,7.567137438816337,22.458764754017416,1011,8088,8224,0.2434997741869344
3,ccc0391.campuscluster.illinois.edu,intra,1,1.0087095e-06,1.0087095e-06,7.434400566868354e-10,10.76078686915561,22.875250127700642,1011,8088,8224,0.2847353309126504
4,ccc0391.campuscluster.illinois.edu,intra,0,1.100633e-06,1.100633e-06,1.058524672061413e-09,7.557688744675627,22.566317797414282,1011,8088,8224,0.23591079810645124
5,ccc0391.campuscluster.illinois.edu,intra,1,1.013043e-06,1.013043e-06,7.457861780609886e-10,10.726935193140278,22.885341724370157,1011,8088,8224,0.2731913284358471
6,ccc0391.campuscluster.illinois.edu,intra,0,1.102271e-06,1.102271e-06,1.057525248399318e-09,7.564831205788126,22.57117193901174,1011,8088,8224,0.23676110911484385
7,ccc0391.campuscluster.illinois.edu,intra,1,1.0665135e-06,1.0665135e-06,7.451655493011195e-10,10.735869374937007,32.09356130419825,1011,8088,8224,0.2800843973616334
8,ccc0391.campuscluster.illinois.edu,intra,0,1.1095545e-06,1.1095545e-06,1.0611882456522169e-09,7.538719009352691,22.5879118133284,1011,8088,8224,0.237917186569181
9,ccc0391.campuscluster.illinois.edu,intra,1,1.0047375e-06,1.0047375e-06,7.450029103311651e-10,10.738213084891008,22.848804057920134,1011,8088,8224,0.2822568403072847
10,ccc0391.campuscluster.illinois.edu,intra,0,1.104235e-06,1.104235e-06,1.0535647650369994e-09,7.593268364208302,22.576327617849394,1011,8088,8224,0.23611206960942546
11,ccc0391.campuscluster.illinois.edu,intra,1,1.013058e-06,1.013058e-06,7.476262387681669e-10,10.70053401707954,22.86783722836431,1011,8088,8224,0.27326796306642226
12,ccc0391.campuscluster.illinois.edu,intra,0,1.113081e-06,1.113081e-06,1.0611394201803384e-09,7.539065883199794,22.59242216808346,1011,8088,8224,0.23504211032952935
13,ccc0391.campuscluster.illinois.edu,intra,1,1.01434e-06,1.0132435e-06,7.457601070184933e-10,10.727310196282215,22.87674597369361,1011,8088,8224,0.2797938350033854
14,ccc0391.campuscluster.illinois.edu,intra,0,1.1094445e-06,1.1094445e-06,1.0584917146290558e-09,7.5579240625455135,22.579970621093896,1011,8088,8224,0.2403858569476187
15,ccc0391.campuscluster.illinois.edu,intra,1,1.0112645e-06,1.0112645e-06,7.464200373747792e-10,10.717825888137542,22.86930955210889,1011,8088,8224,0.2660899091801376
16,ccc0391.campuscluster.illinois.edu,intra,0,1.1026215e-06,1.1026215e-06,1.0628586637994645e-09,7.526870949522038,22.57240217553888,1011,8088,8224,0.23951817407795076
17,ccc0391.campuscluster.illinois.edu,intra,1,1.0363465e-06,1.0363465e-06,7.45711077696219e-10,10.72801549993732,22.976299429606147,1011,8088,8224,0.2777629413910286
18,ccc0391.campuscluster.illinois.edu,intra,0,1.1052365e-06,1.1044e-06,1.0583436109881306e-09,7.558981711554662,22.58133939421033,1011,8088,8224,0.23368691393600358
19,ccc0391.campuscluster.illinois.edu,intra,1,1.0053485e-06,1.0053485e-06,7.437082305567853e-10,10.756906635295286,22.858389925827893,1011,8088,8224,0.2767589269471279
20,ccc0391.campuscluster.illinois.edu,intra,0,1.1088585e-06,1.1088585e-06,1.060451407681232e-09,7.5439571696101435,22.579261087288433,1011,8088,8224,0.23709992336020544
21,ccc0391.campuscluster.illinois.edu,intra,1,1.0096365e-06,1.0096365e-06,7.431113359897118e-10,10.765546981389015,22.85902838248329,1011,8088,8224,0.2767453232195422
22,ccc0391.campuscluster.illinois.edu,intra,0,1.10444e-06,1.10444e-06,1.0630407361247915e-09,7.525581784535556,22.568898991406083,1011,8088,8224,0.23254077885014604
23,ccc0391.campuscluster.illinois.edu,intra,1,1.0122215e-06,1.0122215e-06,7.441867411439134e-10,10.749989965828929,22.876217214162608,1011,8088,8224,0.2847881418981798
24,ccc0391.campuscluster.illinois.edu,intra,0,1.10965e-06,1.10965e-06,1.0592543425204488e-09,7.552482608628589,22.594974335175934,1011,8088,8224,0.23199040308460497
25,ccc0391.campuscluster.illinois.edu,intra,1,1.058238e-06,1.058238e-06,7.471633064915023e-10,10.707163923193795,28.5447242988774,1011,8088,8224,0.2754694464857843
26,ccc0391.campuscluster.illinois.edu,intra,0,1.105036e-06,1.105036e-06,1.0574169519023406e-09,7.565605966130617,22.57198206564962,1011,8088,8224,0.23732540511288716
27,ccc0391.campuscluster.illinois.edu,intra,1,1.0649005e-06,1.0649005e-06,7.458451219753477e-10,10.72608744669704,31.008640034575816,1011,8088,8224,0.2802281011000951
28,ccc0391.campuscluster.illinois.edu,intra,0,1.113928e-06,1.113928e-06,1.0581905398919603e-09,7.56007514565079,22.599549041967325,1011,8088,8224,0.1654955533790671
29,ccc0391.campuscluster.illinois.edu,intra,1,1.032244e-06,1.032244e-06,7.43816660441567e-10,10.755338547069917,22.95177466011918,1011,8088,8224,0.279892458242251
