# P=128 nodes=1 M=127 msg_vol=100000 nsizes=500 host0=ccc0391.campuscluster.illinois.edu cpu0=0 socket0=0 date=2026-09-14T23:19:04
partner,partner_host,partner_cpu,partner_socket,class,nwds,bytes,nloop,t_half_s,mb_per_s
0,ccc0391.campuscluster.illinois.edu,0,0,self,1,8,1000,1.264752000e-06,6.3254
0,ccc0391.campuscluster.illinois.edu,0,0,self,2,16,1000,1.279801000e-06,12.5019
0,ccc0391.campuscluster.illinois.edu,0,0,self,3,24,1000,1.398844000e-06,17.1570
0,ccc0391.campuscluster.illinois.edu,0,0,self,4,32,1000,1.399376000e-06,22.8673
0,ccc0391.campuscluster.illinois.edu,0,0,self,5,40,1000,1.442146000e-06,27.7364
0,ccc0391.campuscluster.illinois.edu,0,0,self,6,48,1000,1.431997000e-06,33.5196
0,ccc0391.campuscluster.illinois.edu,0,0,self,7,56,1000,1.757851000e-06,31.8571
0,ccc0391.campuscluster.illinois.edu,0,0,self,8,64,1000,1.728265000e-06,37.0314
0,ccc0391.campuscluster.illinois.edu,0,0,self,9,72,1000,1.734026000e-06,41.5219
0,ccc0391.campuscluster.illinois.edu,0,0,self,10,80,1000,1.730809000e-06,46.2212
0,ccc0391.campuscluster.illinois.edu,0,0,self,11,88,1000,1.748393000e-06,50.3319
0,ccc0391.campuscluster.illinois.edu,0,0,self,12,96,1000,1.744546000e-06,55.0286
0,ccc0391.campuscluster.illinois.edu,0,0,self,13,104,1000,1.768541000e-06,58.8055
0,ccc0391.campuscluster.illinois.edu,0,0,self,14,112,1000,1.784831000e-06,62.7510
0,ccc0391.campuscluster.illinois.edu,0,0,self,15,120,1000,1.768992000e-06,67.8352
0,ccc0391.campuscluster.illinois.edu,0,0,self,16,128,1000,1.767549000e-06,72.4167
0,ccc0391.campuscluster.illinois.edu,0,0,self,17,136,1000,1.799379000e-06,75.5816
0,ccc0391.campuscluster.illinois.edu,0,0,self,18,144,1000,1.778790000e-06,80.9539
0,ccc0391.campuscluster.illinois.edu,0,0,self,19,152,1000,1.828334000e-06,83.1358
0,ccc0391.campuscluster.illinois.edu,0,0,self,20,160,1000,1.809969000e-06,88.3993
0,ccc0391.campuscluster.illinois.edu,0,0,self,21,168,1000,1.861035000e-06,90.2723
0,ccc0391.campuscluster.illinois.edu,0,0,self,22,176,1000,1.859101000e-06,94.6694
0,ccc0391.campuscluster.illinois.edu,0,0,self,23,184,1000,2.545504000e-06,72.2843
0,ccc0391.campuscluster.illinois.edu,0,0,self,24,192,1000,2.534253000e-06,75.7620
0,ccc0391.campuscluster.illinois.edu,0,0,self,25,200,1000,2.555784000e-06,78.2539
0,ccc0391.campuscluster.illinois.edu,0,0,self,26,208,1000,2.565241000e-06,81.0840
0,ccc0391.campuscluster.illinois.edu,0,0,self,27,216,1000,2.554070000e-06,84.5709
0,ccc0391.campuscluster.illinois.edu,0,0,self,28,224,1000,2.565772000e-06,87.3032
0,ccc0391.campuscluster.illinois.edu,0,0,self,29,232,1000,2.584217000e-06,89.7757
0,ccc0391.campuscluster.illinois.edu,0,0,self,30,240,1000,2.577534000e-06,93.1123
0,ccc0391.campuscluster.illinois.edu,0,0,self,31,248,1000,2.596430000e-06,95.5158
0,ccc0391.campuscluster.illinois.edu,0,0,self,32,256,1000,2.565822000e-06,99.7731
0,ccc0391.campuscluster.illinois.edu,0,0,self,33,264,1000,2.610727000e-06,101.1213
0,ccc0391.campuscluster.illinois.edu,0,0,self,34,272,1000,2.624804000e-06,103.6268
0,ccc0391.campuscluster.illinois.edu,0,0,self,35,280,1000,2.617609000e-06,106.9678
0,ccc0391.campuscluster.illinois.edu,0,0,self,36,288,1000,2.616988000e-06,110.0502
0,ccc0391.campuscluster.illinois.edu,0,0,self,37,296,1000,2.655721000e-06,111.4575
0,ccc0391.campuscluster.illinois.edu,0,0,self,38,304,1000,2.662805000e-06,114.1653
0,ccc0391.campuscluster.illinois.edu,0,0,self,39,312,1000,2.675559000e-06,116.6111
0,ccc0391.campuscluster.illinois.edu,0,0,self,40,320,1000,2.657034000e-06,120.4350
0,ccc0391.campuscluster.illinois.edu,0,0,self,41,328,1000,2.686549000e-06,122.0897
0,ccc0391.campuscluster.illinois.edu,0,0,self,42,336,1000,2.690256000e-06,124.8952
0,ccc0391.campuscluster.illinois.edu,0,0,self,43,344,1000,2.934206000e-06,117.2378
0,ccc0391.campuscluster.illinois.edu,0,0,self,44,352,1000,2.779364000e-06,126.6477
0,ccc0391.campuscluster.illinois.edu,0,0,self,45,360,1000,2.835631000e-06,126.9559
0,ccc0391.campuscluster.illinois.edu,0,0,self,46,368,1000,2.851891000e-06,129.0372
0,ccc0391.campuscluster.illinois.edu,0,0,self,47,376,1000,2.862701000e-06,131.3445
0,ccc0391.campuscluster.illinois.edu,0,0,self,48,384,1000,2.855066000e-06,134.4978
0,ccc0391.campuscluster.illinois.edu,0,0,self,49,392,1000,2.829459000e-06,138.5424
0,ccc0391.campuscluster.illinois.edu,0,0,self,50,400,1000,3.013756000e-06,132.7247
0,ccc0391.campuscluster.illinois.edu,0,0,self,51,408,1000,2.788712000e-06,146.3041
0,ccc0391.campuscluster.illinois.edu,0,0,self,52,416,1000,2.775848000e-06,149.8641
0,ccc0391.campuscluster.illinois.edu,0,0,self,53,424,1000,2.819700000e-06,150.3706
0,ccc0391.campuscluster.illinois.edu,0,0,self,54,432,1000,3.015629000e-06,143.2537
0,ccc0391.campuscluster.illinois.edu,0,0,self,55,440,1000,2.799322000e-06,157.1809
0,ccc0391.campuscluster.illinois.edu,0,0,self,56,448,1000,2.802298000e-06,159.8688
0,ccc0391.campuscluster.illinois.edu,0,0,self,57,456,1000,2.808319000e-06,162.3747
0,ccc0391.campuscluster.illinois.edu,0,0,self,58,464,1000,2.813729000e-06,164.9057
0,ccc0391.campuscluster.illinois.edu,0,0,self,59,472,1000,2.819560000e-06,167.4020
