# P=192 nodes=2 M=191 msg_vol=100000 nsizes=500 host0=ccc0391.campuscluster.illinois.edu cpu0=0 socket0=0 date=2026-09-14T23:25:31
partner,partner_host,partner_cpu,partner_socket,class,nwds,bytes,nloop,t_half_s,mb_per_s
0,ccc0391.campuscluster.illinois.edu,0,0,self,68,544,1000,2.851971000e-06,190.7453
0,ccc0391.campuscluster.illinois.edu,0,0,self,70,560,1000,2.890865000e-06,193.7136
0,ccc0391.campuscluster.illinois.edu,0,0,self,72,576,1000,2.894692000e-06,198.9849
0,ccc0391.campuscluster.illinois.edu,0,0,self,74,592,1000,2.929547000e-06,202.0790
0,ccc0391.campuscluster.illinois.edu,0,0,self,76,608,1000,2.929518000e-06,207.5427
0,ccc0391.campuscluster.illinois.edu,0,0,self,78,624,1000,2.969332000e-06,210.1483
0,ccc0391.campuscluster.illinois.edu,0,0,self,80,640,1000,2.966036000e-06,215.7762
0,ccc0391.campuscluster.illinois.edu,0,0,self,82,656,1000,2.987106000e-06,219.6106
0,ccc0391.campuscluster.illinois.edu,0,0,self,84,672,1000,2.990021000e-06,224.7476
0,ccc0391.campuscluster.illinois.edu,0,0,self,86,688,1000,3.031540000e-06,226.9474
0,ccc0391.campuscluster.illinois.edu,0,0,self,88,704,1000,3.050856000e-06,230.7549
0,ccc0391.campuscluster.illinois.edu,0,0,self,90,720,1000,3.066505000e-06,234.7950
0,ccc0391.campuscluster.illinois.edu,0,0,self,92,736,1000,3.063239000e-06,240.2686
0,ccc0391.campuscluster.illinois.edu,0,0,self,94,752,1000,3.095660000e-06,242.9207
0,ccc0391.campuscluster.illinois.edu,0,0,self,96,768,1000,3.095760000e-06,248.0812
0,ccc0391.campuscluster.illinois.edu,0,0,self,98,784,1000,3.119926000e-06,251.2880
0,ccc0391.campuscluster.illinois.edu,0,0,self,100,800,980,3.115613265e-06,256.7713
0,ccc0391.campuscluster.illinois.edu,0,0,self,102,816,961,3.168891779e-06,257.5033
0,ccc0391.campuscluster.illinois.edu,0,0,self,104,832,943,3.170457052e-06,262.4227
0,ccc0391.campuscluster.illinois.edu,0,0,self,106,848,925,3.188762162e-06,265.9339
0,ccc0391.campuscluster.illinois.edu,0,0,self,108,864,909,3.183509351e-06,271.3986
0,ccc0391.campuscluster.illinois.edu,0,0,self,110,880,892,3.212732063e-06,273.9102
0,ccc0391.campuscluster.illinois.edu,0,0,self,112,896,877,3.214228050e-06,278.7606
0,ccc0391.campuscluster.illinois.edu,0,0,self,114,912,862,3.241475638e-06,281.3533
0,ccc0391.campuscluster.illinois.edu,0,0,self,116,928,847,3.240731995e-06,286.3551
0,ccc0391.campuscluster.illinois.edu,0,0,self,118,944,833,3.295642257e-06,286.4389
0,ccc0391.campuscluster.illinois.edu,0,0,self,120,960,819,3.294727717e-06,291.3746
0,ccc0391.campuscluster.illinois.edu,0,0,self,122,976,806,3.311733251e-06,294.7097
0,ccc0391.campuscluster.illinois.edu,0,0,self,124,992,793,3.305127364e-06,300.1397
0,ccc0391.campuscluster.illinois.edu,0,0,self,127,1016,775,3.347517419e-06,303.5085
0,ccc0391.campuscluster.illinois.edu,0,0,self,130,1040,757,3.354163804e-06,310.0624
0,ccc0391.campuscluster.illinois.edu,0,0,self,133,1064,740,3.402908108e-06,312.6737
0,ccc0391.campuscluster.illinois.edu,0,0,self,136,1088,724,3.414593923e-06,318.6323
0,ccc0391.campuscluster.illinois.edu,0,0,self,139,1112,709,3.432557123e-06,323.9567
0,ccc0391.campuscluster.illinois.edu,0,0,self,142,1136,694,3.444903458e-06,329.7625
0,ccc0391.campuscluster.illinois.edu,0,0,self,145,1160,680,3.462226471e-06,335.0445
0,ccc0391.campuscluster.illinois.edu,0,0,self,148,1184,666,3.485151652e-06,339.7270
