# P=256 nodes=2 M=255 msg_vol=100000 nsizes=500 host0=ccc0391.campuscluster.illinois.edu cpu0=0 socket0=0 date=2026-09-14T23:32:52
partner,partner_host,partner_cpu,partner_socket,class,nwds,bytes,nloop,t_half_s,mb_per_s
0,ccc0391.campuscluster.illinois.edu,0,0,self,1,8,1000,1.302463000e-06,6.1422
0,ccc0391.campuscluster.illinois.edu,0,0,self,2,16,1000,1.285641000e-06,12.4452
0,ccc0391.campuscluster.illinois.edu,0,0,self,3,24,1000,1.441885000e-06,16.6449
0,ccc0391.campuscluster.illinois.edu,0,0,self,4,32,1000,1.442036000e-06,22.1908
0,ccc0391.campuscluster.illinois.edu,0,0,self,5,40,1000,1.445943000e-06,27.6636
0,ccc0391.campuscluster.illinois.edu,0,0,self,6,48,1000,1.460732000e-06,32.8602
0,ccc0391.campuscluster.illinois.edu,0,0,self,7,56,1000,1.731821000e-06,32.3359
0,ccc0391.campuscluster.illinois.edu,0,0,self,8,64,1000,1.744856000e-06,36.6792
0,ccc0391.campuscluster.illinois.edu,0,0,self,9,72,1000,1.745727000e-06,41.2436
0,ccc0391.campuscluster.illinois.edu,0,0,self,10,80,1000,1.743774000e-06,45.8775
0,ccc0391.campuscluster.illinois.edu,0,0,self,11,88,1000,1.748332000e-06,50.3337
0,ccc0391.campuscluster.illinois.edu,0,0,self,12,96,1000,1.755887000e-06,54.6732
0,ccc0391.campuscluster.illinois.edu,0,0,self,13,104,1000,1.783058000e-06,58.3268
0,ccc0391.campuscluster.illinois.edu,0,0,self,14,112,1000,1.775434000e-06,63.0832
0,ccc0391.campuscluster.illinois.edu,0,0,self,15,120,1000,1.782567000e-06,67.3186
0,ccc0391.campuscluster.illinois.edu,0,0,self,16,128,1000,1.762610000e-06,72.6196
0,ccc0391.campuscluster.illinois.edu,0,0,self,17,136,1000,1.794640000e-06,75.7812
0,ccc0391.campuscluster.illinois.edu,0,0,self,18,144,1000,1.797746000e-06,80.1003
0,ccc0391.campuscluster.illinois.edu,0,0,self,19,152,1000,1.831579000e-06,82.9885
0,ccc0391.campuscluster.illinois.edu,0,0,self,20,160,1000,1.823173000e-06,87.7591
0,ccc0391.campuscluster.illinois.edu,0,0,self,21,168,1000,1.847850000e-06,90.9165
0,ccc0391.campuscluster.illinois.edu,0,0,self,22,176,1000,1.865203000e-06,94.3597
0,ccc0391.campuscluster.illinois.edu,0,0,self,23,184,1000,2.565011000e-06,71.7346
0,ccc0391.campuscluster.illinois.edu,0,0,self,24,192,1000,2.542629000e-06,75.5124
0,ccc0391.campuscluster.illinois.edu,0,0,self,25,200,1000,2.563658000e-06,78.0135
0,ccc0391.campuscluster.illinois.edu,0,0,self,26,208,1000,2.570301000e-06,80.9244
0,ccc0391.campuscluster.illinois.edu,0,0,self,27,216,1000,2.570812000e-06,84.0201
0,ccc0391.campuscluster.illinois.edu,0,0,self,28,224,1000,2.559871000e-06,87.5044
0,ccc0391.campuscluster.illinois.edu,0,0,self,29,232,1000,2.580120000e-06,89.9183
0,ccc0391.campuscluster.illinois.edu,0,0,self,30,240,1000,2.592733000e-06,92.5664
0,ccc0391.campuscluster.illinois.edu,0,0,self,31,248,1000,2.584437000e-06,95.9590
0,ccc0391.campuscluster.illinois.edu,0,0,self,32,256,1000,2.589587000e-06,98.8575
0,ccc0391.campuscluster.illinois.edu,0,0,self,33,264,1000,2.611448000e-06,101.0933
0,ccc0391.campuscluster.illinois.edu,0,0,self,34,272,1000,2.624182000e-06,103.6513
0,ccc0391.campuscluster.illinois.edu,0,0,self,35,280,1000,2.630224000e-06,106.4548
0,ccc0391.campuscluster.illinois.edu,0,0,self,36,288,1000,2.619804000e-06,109.9319
0,ccc0391.campuscluster.illinois.edu,0,0,self,37,296,1000,2.675098000e-06,110.6502
0,ccc0391.campuscluster.illinois.edu,0,0,self,38,304,1000,2.692111000e-06,112.9225
0,ccc0391.campuscluster.illinois.edu,0,0,self,39,312,1000,2.682171000e-06,116.3237
0,ccc0391.campuscluster.illinois.edu,0,0,self,40,320,1000,2.666933000e-06,119.9880
0,ccc0391.campuscluster.illinois.edu,0,0,self,41,328,1000,2.687001000e-06,122.0692
0,ccc0391.campuscluster.illinois.edu,0,0,self,42,336,1000,2.710495000e-06,123.9626
0,ccc0391.campuscluster.illinois.edu,0,0,self,43,344,1000,2.696428000e-06,127.5762
0,ccc0391.campuscluster.illinois.edu,0,0,self,44,352,1000,2.707439000e-06,130.0122
0,ccc0391.campuscluster.illinois.edu,0,0,self,45,360,1000,2.746563000e-06,131.0729
0,ccc0391.campuscluster.illinois.edu,0,0,self,46,368,1000,3.040867000e-06,121.0181
0,ccc0391.campuscluster.illinois.edu,0,0,self,47,376,1000,2.872270000e-06,130.9069
0,ccc0391.campuscluster.illinois.edu,0,0,self,48,384,1000,2.864004000e-06,134.0780
0,ccc0391.campuscluster.illinois.edu,0,0,self,49,392,1000,2.827655000e-06,138.6308
0,ccc0391.campuscluster.illinois.edu,0,0,self,50,400,1000,3.009408000e-06,132.9165
0,ccc0391.campuscluster.illinois.edu,0,0,self,51,408,1000,2.787801000e-06,146.3519
0,ccc0391.campuscluster.illinois.edu,0,0,self,52,416,1000,2.785025000e-06,149.3703
0,ccc0391.campuscluster.illinois.edu,0,0,self,53,424,1000,2.825101000e-06,150.0831
0,ccc0391.campuscluster.illinois.edu,0,0,self,54,432,1000,2.831412000e-06,152.5741
0,ccc0391.campuscluster.illinois.edu,0,0,self,55,440,1000,3.001643000e-06,146.5864
0,ccc0391.campuscluster.illinois.edu,0,0,self,56,448,1000,2.810122000e-06,159.4237
0,ccc0391.campuscluster.illinois.edu,0,0,self,57,456,1000,2.815994000e-06,161.9322
0,ccc0391.campuscluster.illinois.edu,0,0,self,58,464,1000,2.847793000e-06,162.9332
0,ccc0391.campuscluster.illinois.edu,0,0,self,59,472,1000,2.959824000e-06,159.4689
0,ccc0391.campuscluster.illinois.edu,0,0,self,60,480,1000,2.833897000e-06,169.3781
0,ccc0391.campuscluster.illinois.edu,0,0,self,61,488,1000,2.869705000e-06,170.0523
0,ccc0391.campuscluster.illinois.edu,0,0,self,62,496,1000,2.868743000e-06,172.8980
0,ccc0391.campuscluster.illinois.edu,0,0,self,64,512,1000,2.875205000e-06,178.0743
0,ccc0391.campuscluster.illinois.edu,0,0,self,66,528,1000,2.883030000e-06,183.1407
0,ccc0391.campuscluster.illinois.edu,0,0,self,68,544,1000,2.889041000e-06,188.2978
0,ccc0391.campuscluster.illinois.edu,0,0,self,70,560,1000,2.944496000e-06,190.1853
0,ccc0391.campuscluster.illinois.edu,0,0,self,72,576,1000,2.942381000e-06,195.7598
0,ccc0391.campuscluster.illinois.edu,0,0,self,74,592,1000,2.970975000e-06,199.2612
0,ccc0391.campuscluster.illinois.edu,0,0,self,76,608,1000,2.967699000e-06,204.8725
0,ccc0391.campuscluster.illinois.edu,0,0,self,78,624,1000,3.029456000e-06,205.9776
0,ccc0391.campuscluster.illinois.edu,0,0,self,80,640,1000,3.028333000e-06,211.3374
0,ccc0391.campuscluster.illinois.edu,0,0,self,82,656,1000,3.031208000e-06,216.4154
0,ccc0391.campuscluster.illinois.edu,0,0,self,84,672,1000,3.030968000e-06,221.7113
