# P=128 nodes=2 M=127 msg_vol=100000 nsizes=500 host0=ccc0392.campuscluster.illinois.edu cpu0=0 socket0=0 date=2026-09-14T23:19:56
partner,partner_host,partner_cpu,partner_socket,class,nwds,bytes,nloop,t_half_s,mb_per_s
0,ccc0392.campuscluster.illinois.edu,0,0,self,1,8,1000,1.278540000e-06,6.2571
0,ccc0392.campuscluster.illinois.edu,0,0,self,2,16,1000,1.264933000e-06,12.6489
0,ccc0392.campuscluster.illinois.edu,0,0,self,3,24,1000,1.407343000e-06,17.0534
0,ccc0392.campuscluster.illinois.edu,0,0,self,4,32,1000,1.415609000e-06,22.6051
0,ccc0392.campuscluster.illinois.edu,0,0,self,5,40,1000,1.417552000e-06,28.2177
0,ccc0392.campuscluster.illinois.edu,0,0,self,6,48,1000,1.437020000e-06,33.4025
0,ccc0392.campuscluster.illinois.edu,0,0,self,7,56,1000,1.718371000e-06,32.5890
0,ccc0392.campuscluster.illinois.edu,0,0,self,8,64,1000,1.728160000e-06,37.0336
0,ccc0392.campuscluster.illinois.edu,0,0,self,9,72,1000,1.695578000e-06,42.4634
0,ccc0392.campuscluster.illinois.edu,0,0,self,10,80,1000,1.694888000e-06,47.2008
0,ccc0392.campuscluster.illinois.edu,0,0,self,11,88,1000,1.728881000e-06,50.9000
0,ccc0392.campuscluster.illinois.edu,0,0,self,12,96,1000,1.732699000e-06,55.4049
0,ccc0392.campuscluster.illinois.edu,0,0,self,13,104,1000,1.753377000e-06,59.3141
0,ccc0392.campuscluster.illinois.edu,0,0,self,14,112,1000,1.755051000e-06,63.8158
0,ccc0392.campuscluster.illinois.edu,0,0,self,15,120,1000,1.746194000e-06,68.7209
0,ccc0392.campuscluster.illinois.edu,0,0,self,16,128,1000,1.752106000e-06,73.0549
0,ccc0392.campuscluster.illinois.edu,0,0,self,17,136,1000,1.756323000e-06,77.4345
0,ccc0392.campuscluster.illinois.edu,0,0,self,18,144,1000,1.749941000e-06,82.2885
0,ccc0392.campuscluster.illinois.edu,0,0,self,19,152,1000,1.776141000e-06,85.5788
0,ccc0392.campuscluster.illinois.edu,0,0,self,20,160,1000,1.786470000e-06,89.5621
0,ccc0392.campuscluster.illinois.edu,0,0,self,21,168,1000,1.811628000e-06,92.7343
0,ccc0392.campuscluster.illinois.edu,0,0,self,22,176,1000,1.813972000e-06,97.0247
0,ccc0392.campuscluster.illinois.edu,0,0,self,23,184,1000,2.503467000e-06,73.4981
0,ccc0392.campuscluster.illinois.edu,0,0,self,24,192,1000,2.507164000e-06,76.5806
0,ccc0392.campuscluster.illinois.edu,0,0,self,25,200,1000,2.502786000e-06,79.9109
0,ccc0392.campuscluster.illinois.edu,0,0,self,26,208,1000,2.519858000e-06,82.5443
0,ccc0392.campuscluster.illinois.edu,0,0,self,27,216,1000,2.513175000e-06,85.9471
0,ccc0392.campuscluster.illinois.edu,0,0,self,28,224,1000,2.524287000e-06,88.7379
0,ccc0392.campuscluster.illinois.edu,0,0,self,29,232,1000,2.539946000e-06,91.3405
0,ccc0392.campuscluster.illinois.edu,0,0,self,30,240,1000,2.540136000e-06,94.4831
0,ccc0392.campuscluster.illinois.edu,0,0,self,31,248,1000,2.541750000e-06,97.5706
0,ccc0392.campuscluster.illinois.edu,0,0,self,32,256,1000,2.542120000e-06,100.7033
0,ccc0392.campuscluster.illinois.edu,0,0,self,33,264,1000,2.576936000e-06,102.4472
0,ccc0392.campuscluster.illinois.edu,0,0,self,34,272,1000,2.577718000e-06,105.5197
0,ccc0392.campuscluster.illinois.edu,0,0,self,35,280,1000,2.588317000e-06,108.1784
0,ccc0392.campuscluster.illinois.edu,0,0,self,36,288,1000,2.575443000e-06,111.8254
0,ccc0392.campuscluster.illinois.edu,0,0,self,37,296,1000,2.652138000e-06,111.6081
0,ccc0392.campuscluster.illinois.edu,0,0,self,38,304,1000,2.651557000e-06,114.6496
0,ccc0392.campuscluster.illinois.edu,0,0,self,39,312,1000,2.671335000e-06,116.7955
0,ccc0392.campuscluster.illinois.edu,0,0,self,40,320,1000,2.664131000e-06,120.1142
0,ccc0392.campuscluster.illinois.edu,0,0,self,41,328,1000,2.640266000e-06,124.2299
0,ccc0392.campuscluster.illinois.edu,0,0,self,42,336,1000,2.638502000e-06,127.3450
0,ccc0392.campuscluster.illinois.edu,0,0,self,43,344,1000,2.651056000e-06,129.7596
0,ccc0392.campuscluster.illinois.edu,0,0,self,44,352,1000,2.642761000e-06,133.1940
0,ccc0392.campuscluster.illinois.edu,0,0,self,45,360,1000,2.719796000e-06,132.3629
0,ccc0392.campuscluster.illinois.edu,0,0,self,46,368,1000,2.717051000e-06,135.4410
0,ccc0392.campuscluster.illinois.edu,0,0,self,47,376,1000,3.021317000e-06,124.4490
0,ccc0392.campuscluster.illinois.edu,0,0,self,48,384,1000,2.815247000e-06,136.4001
0,ccc0392.campuscluster.illinois.edu,0,0,self,49,392,1000,2.792003000e-06,140.4010
0,ccc0392.campuscluster.illinois.edu,0,0,self,50,400,1000,2.785531000e-06,143.5992
0,ccc0392.campuscluster.illinois.edu,0,0,self,51,408,1000,3.091630000e-06,131.9692
0,ccc0392.campuscluster.illinois.edu,0,0,self,52,416,1000,2.726869000e-06,152.5559
0,ccc0392.campuscluster.illinois.edu,0,0,self,53,424,1000,2.811920000e-06,150.7867
0,ccc0392.campuscluster.illinois.edu,0,0,self,54,432,1000,3.012821000e-06,143.3872
0,ccc0392.campuscluster.illinois.edu,0,0,self,55,440,1000,2.805168000e-06,156.8534
0,ccc0392.campuscluster.illinois.edu,0,0,self,56,448,1000,2.789038000e-06,160.6289
0,ccc0392.campuscluster.illinois.edu,0,0,self,57,456,1000,2.823873000e-06,161.4803
0,ccc0392.campuscluster.illinois.edu,0,0,self,58,464,1000,2.762467000e-06,167.9658
0,ccc0392.campuscluster.illinois.edu,0,0,self,59,472,1000,2.772085000e-06,170.2689
0,ccc0392.campuscluster.illinois.edu,0,0,self,60,480,1000,2.771163000e-06,173.2125
0,ccc0392.campuscluster.illinois.edu,0,0,self,61,488,1000,2.803084000e-06,174.0940
0,ccc0392.campuscluster.illinois.edu,0,0,self,62,496,1000,2.809807000e-06,176.5246
0,ccc0392.campuscluster.illinois.edu,0,0,self,64,512,1000,2.817701000e-06,181.7084
0,ccc0392.campuscluster.illinois.edu,0,0,self,66,528,1000,2.821598000e-06,187.1280
0,ccc0392.campuscluster.illinois.edu,0,0,self,68,544,1000,2.848068000e-06,191.0067
0,ccc0392.campuscluster.illinois.edu,0,0,self,70,560,1000,2.867826000e-06,195.2699
0,ccc0392.campuscluster.illinois.edu,0,0,self,72,576,1000,2.861955000e-06,201.2610
0,ccc0392.campuscluster.illinois.edu,0,0,self,74,592,1000,2.890690000e-06,204.7954
0,ccc0392.campuscluster.illinois.edu,0,0,self,76,608,1000,2.904185000e-06,209.3531
0,ccc0392.campuscluster.illinois.edu,0,0,self,78,624,1000,2.956013000e-06,211.0951
0,ccc0392.campuscluster.illinois.edu,0,0,self,80,640,1000,2.957786000e-06,216.3781
0,ccc0392.campuscluster.illinois.edu,0,0,self,82,656,1000,2.970280000e-06,220.8546
0,ccc0392.campuscluster.illinois.edu,0,0,self,84,672,1000,2.959921000e-06,227.0331
0,ccc0392.campuscluster.illinois.edu,0,0,self,86,688,1000,3.023420000e-06,227.5569
0,ccc0392.campuscluster.illinois.edu,0,0,self,88,704,1000,3.022819000e-06,232.8952
0,ccc0392.campuscluster.illinois.edu,0,0,self,90,720,1000,3.050673000e-06,236.0135
0,ccc0392.campuscluster.illinois.edu,0,0,self,92,736,1000,3.044220000e-06,241.7696
0,ccc0392.campuscluster.illinois.edu,0,0,self,94,752,1000,3.076511000e-06,244.4327
0,ccc0392.campuscluster.illinois.edu,0,0,self,96,768,1000,3.072614000e-06,249.9500
0,ccc0392.campuscluster.illinois.edu,0,0,self,98,784,1000,3.092051000e-06,253.5534
0,ccc0392.campuscluster.illinois.edu,0,0,self,100,800,980,3.106285714e-06,257.5423
0,ccc0392.campuscluster.illinois.edu,0,0,self,102,816,961,3.157932362e-06,258.3969
0,ccc0392.campuscluster.illinois.edu,0,0,self,104,832,943,3.137304348e-06,265.1958
0,ccc0392.campuscluster.illinois.edu,0,0,self,106,848,925,3.168720000e-06,267.6159
0,ccc0392.campuscluster.illinois.edu,0,0,self,108,864,909,3.168679868e-06,272.6688
0,ccc0392.campuscluster.illinois.edu,0,0,self,110,880,892,3.205414798e-06,274.5355
0,ccc0392.campuscluster.illinois.edu,0,0,self,112,896,877,3.199452680e-06,280.0479
0,ccc0392.campuscluster.illinois.edu,0,0,self,114,912,862,3.217409513e-06,283.4579
0,ccc0392.campuscluster.illinois.edu,0,0,self,116,928,847,3.684030697e-06,251.8980
0,ccc0392.campuscluster.illinois.edu,0,0,self,118,944,833,3.283331333e-06,287.5129
0,ccc0392.campuscluster.illinois.edu,0,0,self,120,960,819,3.282597070e-06,292.4514
0,ccc0392.campuscluster.illinois.edu,0,0,self,122,976,806,3.287883375e-06,296.8475
0,ccc0392.campuscluster.illinois.edu,0,0,self,124,992,793,3.303235813e-06,300.3116
0,ccc0392.campuscluster.illinois.edu,0,0,self,127,1016,775,3.326165161e-06,305.4569
0,ccc0392.campuscluster.illinois.edu,0,0,self,130,1040,757,3.342043593e-06,311.1868
0,ccc0392.campuscluster.illinois.edu,0,0,self,133,1064,740,3.382698649e-06,314.5418
0,ccc0392.campuscluster.illinois.edu,0,0,self,136,1088,724,3.385147790e-06,321.4040
0,ccc0392.campuscluster.illinois.edu,0,0,self,139,1112,709,3.408565585e-06,326.2369
0,ccc0392.campuscluster.illinois.edu,0,0,self,142,1136,694,3.429182997e-06,331.2742
0,ccc0392.campuscluster.illinois.edu,0,0,self,145,1160,680,3.454064706e-06,335.8362
0,ccc0392.campuscluster.illinois.edu,0,0,self,148,1184,666,3.446189189e-06,343.5679
0,ccc0392.campuscluster.illinois.edu,0,0,self,151,1208,653,3.508430322e-06,344.3135
0,ccc0392.campuscluster.illinois.edu,0,0,self,154,1232,641,3.522171607e-06,349.7842
0,ccc0392.campuscluster.illinois.edu,0,0,self,157,1256,628,3.522285032e-06,356.5867
0,ccc0392.campuscluster.illinois.edu,0,0,self,160,1280,617,3.547977310e-06,360.7689
0,ccc0392.campuscluster.illinois.edu,0,0,self,163,1304,606,3.563227723e-06,365.9603
0,ccc0392.campuscluster.illinois.edu,0,0,self,166,1328,595,3.615159664e-06,367.3420
0,ccc0392.campuscluster.illinois.edu,0,0,self,169,1352,584,3.646386986e-06,370.7780
0,ccc0392.campuscluster.illinois.edu,0,0,self,172,1376,574,3.641611498e-06,377.8547
0,ccc0392.campuscluster.illinois.edu,0,0,self,175,1400,564,3.674524823e-06,381.0016
0,ccc0392.campuscluster.illinois.edu,0,0,self,178,1424,555,3.680495495e-06,386.9044
0,ccc0392.campuscluster.illinois.edu,0,0,self,181,1448,546,3.750263736e-06,386.1062
